stage,family,configuration_id,training_seed,parameter_count,runtime_seconds,artifact_bytes,observed_process_peak_rss_bytes
validation,feature_sum_bpr_identity,bpr__k064__reg0p001__lr0p05,104729,3801094,14.06703650000054,13899325,
validation,feature_sum_bpr_identity,bpr__k064__reg0p001__lr0p05,130363,3801094,13.921947200000432,13894867,
validation,feature_sum_bpr_identity,bpr__k064__reg0p001__lr0p05,155921,3801094,14.373291700001573,13915702,
validation,feature_sum_bpr_identity_genre,genre__bpr__k064__reg0p0001__lr0p05,104729,3802438,14.099797200000467,13956466,
validation,feature_sum_bpr_identity_genre,genre__bpr__k064__reg0p0001__lr0p05,130363,3802438,14.051505300001736,13949405,
validation,feature_sum_bpr_identity_genre,genre__bpr__k064__reg0p0001__lr0p05,155921,3802438,14.076779600000009,13953920,
production_and_fold_in,implicit_als,als__k064__reg0p05__ao20__ownership_only,104729,,55.8827569999994,17071569,
production_and_fold_in,implicit_als,als__k064__reg0p05__ao20__ownership_only,130363,,53.82500819999768,17072977,
production_and_fold_in,implicit_als,als__k064__reg0p05__ao20__ownership_only,155921,,60.09085259999847,17070704,
validation_process_monitor,all_remaining_runs_after_monitor_start,,,,,,695320576
